,latitude,longitude,height,line_id
83,59.62550213942775,28.55489412758219,-1.222477244617112e-06,890
84,59.62550391696049,28.554882230973686,-1.088467197384176e-06,890
85,59.625505716242444,28.554870188794165,-8.748470697874876e-07,890
86,59.625507556759466,28.554857870628666,-5.739131320961443e-07,890
87,59.625509440775936,28.55484526132197,-1.8170876731858334e-07,890
88,59.62551112498248,28.554832887603233,-2.887028629099998e-07,890
89,59.62551278887609,28.5548197697544,-7.369164538913866e-07,890
90,59.62551448254054,28.554806417185212,-1.098856549926631e-06,890
91,59.62551618813922,28.554792970516253,-1.369425609513753e-06,890
92,59.6255179414792,28.55477914745007,-1.5467384598842853e-06,890
93,59.625519706753266,28.554765230284016,-1.6241331147741558e-06,890
94,59.62552151976843,28.55475093672057,-1.595374870813343e-06,890
95,59.62552335061838,28.55473650253582,-1.458483563416376e-06,890
96,59.625525217273584,28.55472178605277,-1.2038730372577006e-06,890
97,59.62552710189751,28.554706927891694,-8.308369611533333e-07,890
98,59.62552902822727,28.55469174091089,-3.2912371870254544e-07,890
99,59.625530910222054,28.554676553560164,-1.7490277624186816e-07,890
100,59.62553279393092,28.554660899021073,-4.846189614481877e-07,890
101,59.62553470646625,28.55464500490253,-6.667946069845782e-07,890
102,59.62553664177982,28.554628921467142,-7.162348960472824e-07,890
103,59.62553861126173,28.554612554056888,-6.254316494725228e-07,890
104,59.6255405981797,28.55459604172466,-3.930117815256095e-07,890
105,59.625542618559756,28.554579251285293,-6.984919309616089e-09,890
106,59.62554460511132,28.55456239059602,-5.3803866756405045e-06,339
107,59.6255466245037,28.554545245408505,-1.0785611040957244e-05,339
108,59.625548671371405,28.554527866926616,-1.610626538301317e-05,339
109,59.62555074058461,28.554510298702965,-2.1324452133459915e-05,339
110,59.62555284331723,28.554492445867158,-2.6460382251115967e-05,339
111,59.625554946047274,28.55447459303008,-3.143089850304673e-05,339
112,59.62555708742623,28.554456412028294,-3.631868718895497e-05,339
113,59.625559251150364,28.55443804128454,-4.108148394708268e-05,339
114,59.62556143117534,28.55441953211679,-4.570148826833188e-05,339
115,59.625563633545326,28.55440083320705,-5.0186914650549375e-05,339
116,59.62556583591252,28.554382134296016,-5.4487616791038656e-05,339
117,59.62556804945077,28.554363340513294,-5.862658994279882e-05,339
118,59.62557026298618,28.554344546729258,-6.257956443878751e-05,339
119,59.62557245417111,28.554325942684752,-6.630956777100429e-05,339
120,59.62557464535325,28.55430733863899,-6.985729856574677e-05,339
